scorer,DLC_resnet101_NOR+OpenfieldFeb28shuffle1_200000,DLC_resnet101_NOR+OpenfieldFeb28shuffle1_200000,DLC_resnet101_NOR+OpenfieldFeb28shuffle1_200000,DLC_resnet101_NOR+OpenfieldFeb28shuffle1_200000,DLC_resnet101_NOR+OpenfieldFeb28shuffle1_200000,DLC_resnet101_NOR+OpenfieldFeb28shuffle1_200000,DLC_resnet101_NOR+OpenfieldFeb28shuffle1_200000,DLC_resnet101_NOR+OpenfieldFeb28shuffle1_200000,DLC_resnet101_NOR+OpenfieldFeb28shuffle1_200000
bodyparts,nose,nose,nose,objectA,objectA,objectA,objectB,objectB,objectB
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
61,497.5008850097656,223.9913787841797,0.006793373264372349,498.5006408691406,229.9618682861328,0.9999884366989136,806.6283569335938,663.7460327148438,0.9999606609344482
62,497.4454650878906,224.07666015625,0.006518764887005091,498.3546447753906,229.97471618652344,0.9999884366989136,806.6214599609375,663.7939453125,0.9999579191207886
63,506.0428466796875,240.61968994140625,0.006203596014529467,498.38079833984375,229.93629455566406,0.9999885559082031,806.7079467773438,663.8997802734375,0.9999586343765259
64,497.4124450683594,224.13316345214844,0.00620828103274107,498.2710266113281,229.98045349121094,0.9999887943267822,806.5982666015625,663.7745971679688,0.9999618530273438
65,497.53216552734375,224.24851989746094,0.006269195582717657,498.3440856933594,230.1304931640625,0.9999889135360718,806.6737060546875,663.8818969726562,0.9999581575393677
66,497.5400695800781,224.1356964111328,0.00656313868239522,498.3586730957031,230.1592254638672,0.9999886751174927,806.8328247070312,663.9742431640625,0.9999513626098633
67,497.8756103515625,224.08477783203125,0.007360691670328379,499.23779296875,230.0024871826172,0.9999879598617554,806.8246459960938,664.00390625,0.9999480247497559
68,497.8629150390625,224.15753173828125,0.007473079487681389,499.0743713378906,230.08961486816406,0.9999855756759644,806.7396240234375,663.9238891601562,0.9999637603759766
69,497.7077941894531,224.05995178222656,0.007153577636927366,499.1272888183594,229.9174346923828,0.9999873638153076,806.9387817382812,664.3468627929688,0.999953031539917
70,497.7493896484375,224.08590698242188,0.007341349497437477,499.39599609375,230.1679229736328,0.9999868869781494,806.8373413085938,663.9957275390625,0.9999631643295288
71,497.46148681640625,224.30618286132812,0.00849371962249279,499.2483215332031,230.49977111816406,0.9999840259552002,806.9193115234375,664.1087036132812,0.9999573230743408
72,506.59130859375,241.18101501464844,0.007265656255185604,498.9854736328125,230.69952392578125,0.9999837875366211,807.09521484375,664.0760498046875,0.9999490976333618
73,497.6063537597656,224.50457763671875,0.008553953841328621,499.5468444824219,230.9794921875,0.9999804496765137,807.3594360351562,664.19921875,0.9999345541000366
74,497.6114501953125,224.41656494140625,0.007541618309915066,499.306640625,230.86683654785156,0.9999825954437256,807.293212890625,664.135009765625,0.9999426603317261
75,497.53057861328125,224.49169921875,0.007291906978935003,499.2068176269531,230.4029998779297,0.9999861717224121,807.2698974609375,664.099365234375,0.9999421834945679
76,497.4967346191406,224.5187225341797,0.0067399307154119015,498.93212890625,230.37222290039062,0.9999871253967285,807.27197265625,664.180908203125,0.9999397993087769
77,497.4329528808594,224.4905548095703,0.006877228617668152,499.1376647949219,230.31637573242188,0.9999872446060181,807.6747436523438,665.2102661132812,0.9998844861984253
78,497.4491271972656,224.4348602294922,0.007130456622689962,499.3758239746094,230.31161499023438,0.9999874830245972,807.48828125,665.0489501953125,0.999903678894043
79,497.5951232910156,224.54330444335938,0.0068547604605555534,499.0882568359375,230.35569763183594,0.9999861717224121,807.5037841796875,665.1630249023438,0.9998979568481445
80,497.58319091796875,224.62002563476562,0.006836705841124058,498.9967346191406,230.3409423828125,0.9999867677688599,807.363525390625,665.1170654296875,0.9999085664749146
81,497.5372619628906,224.6063690185547,0.007152856327593327,498.96942138671875,230.3828582763672,0.999987006187439,807.3972778320312,664.9804077148438,0.9999126195907593
82,497.3890075683594,224.43231201171875,0.007476216647773981,499.30206298828125,230.78439331054688,0.999984860420227,807.2435302734375,664.1060791015625,0.9999470710754395
83,497.3518371582031,224.31605529785156,0.008060241118073463,499.6103820800781,230.9243621826172,0.999982476234436,807.2120971679688,664.219482421875,0.9999409914016724
84,497.9276428222656,224.25741577148438,0.007842617109417915,499.99871826171875,230.3587646484375,0.9999852180480957,807.2518310546875,664.766845703125,0.9999310970306396
85,498.13690185546875,224.16946411132812,0.007600411307066679,500.0565185546875,230.341064453125,0.999985933303833,807.2669677734375,664.912353515625,0.9999212026596069
86,498.0428161621094,224.1138916015625,0.007304838392883539,500.0816345214844,230.31173706054688,0.9999865293502808,807.1883544921875,664.9187622070312,0.9999253749847412
87,497.9197692871094,224.0616912841797,0.007076669950038195,499.9896240234375,230.23892211914062,0.9999872446060181,807.1851806640625,664.8018188476562,0.9999328851699829
88,497.95343017578125,224.15380859375,0.00741216167807579,500.0482177734375,230.22744750976562,0.9999862909317017,807.234375,665.0901489257812,0.9999120235443115
89,506.5683288574219,241.47610473632812,0.007385829463601112,499.2576904296875,230.39952087402344,0.9999862909317017,807.2192993164062,665.288330078125,0.9999064207077026
90,506.7561340332031,241.5560302734375,0.007082522846758366,499.4670715332031,230.55970764160156,0.9999860525131226,807.3387451171875,665.1386108398438,0.9999126195907593
91,506.864990234375,241.69940185546875,0.007134789135307074,499.9746398925781,230.6856231689453,0.9999855756759644,807.4752807617188,665.3233032226562,0.999896764755249
92,497.8203430175781,224.3308563232422,0.007510982919484377,499.32965087890625,230.6276397705078,0.9999849796295166,807.3212890625,665.1422729492188,0.9999039173126221
93,498.0084533691406,224.25425720214844,0.0075210207141935825,499.5816650390625,230.74522399902344,0.9999849796295166,807.1478271484375,664.7824096679688,0.999923586845398
94,498.05206298828125,224.4061279296875,0.007754901889711618,499.5599060058594,230.909912109375,0.9999841451644897,807.1798706054688,664.7633056640625,0.9999240636825562
95,497.7669982910156,224.1333465576172,0.0071225715801119804,499.9653015136719,230.44020080566406,0.9999872446060181,807.1034545898438,664.5222778320312,0.9999334812164307
96,497.3923645019531,223.96038818359375,0.007054841611534357,500.2904357910156,229.83889770507812,0.9999867677688599,807.3241577148438,666.2763671875,0.999870777130127
97,497.3530578613281,224.00425720214844,0.00689449068158865,500.3960876464844,229.9397430419922,0.9999876022338867,807.3005981445312,666.2791137695312,0.9998672008514404
98,497.5213623046875,224.15097045898438,0.006767308339476585,499.92431640625,229.77809143066406,0.9999872446060181,807.4244384765625,666.443115234375,0.9998681545257568
99,497.4895324707031,224.16769409179688,0.00667056767269969,499.9365539550781,229.78866577148438,0.9999876022338867,807.44384765625,666.4473266601562,0.9998663663864136
100,497.4738464355469,224.30279541015625,0.006539791356772184,499.545166015625,229.79376220703125,0.9999873638153076,807.3970336914062,666.2821044921875,0.9998623132705688
101,497.41650390625,224.2810516357422,0.006553769111633301,499.5785217285156,229.8133087158203,0.9999879598617554,807.4896850585938,666.3408813476562,0.999862790107727
102,497.42425537109375,224.27821350097656,0.007008296903222799,499.6020812988281,229.74119567871094,0.9999881982803345,807.5104370117188,666.348876953125,0.9998617172241211
103,497.5104064941406,224.30596923828125,0.005761715583503246,498.7997741699219,229.8043670654297,0.9999891519546509,807.5357666015625,666.3242797851562,0.9998677968978882
104,505.9879150390625,240.58335876464844,0.006233967840671539,498.9079284667969,229.78018188476562,0.9999891519546509,807.4652099609375,665.7163696289062,0.9998477697372437
105,505.9425964355469,240.5570831298828,0.0058125704526901245,498.916259765625,229.8175506591797,0.9999886751174927,807.5153198242188,665.8134155273438,0.9998358488082886
106,497.5211181640625,224.293212890625,0.005783184431493282,498.8404235839844,229.8368377685547,0.9999889135360718,807.43359375,665.6231689453125,0.9998409748077393
107,497.5012512207031,224.21168518066406,0.006041429005563259,498.8192138671875,229.7934112548828,0.9999877214431763,807.577880859375,665.6351928710938,0.9998227953910828
108,497.54498291015625,224.40216064453125,0.007384564261883497,498.9114990234375,230.3072509765625,0.9999886751174927,807.1243286132812,665.7466430664062,0.9999074935913086
109,497.4533996582031,224.31341552734375,0.0074454257264733315,498.9483947753906,230.23468017578125,0.9999892711639404,807.0077514648438,665.640380859375,0.9999122619628906
110,497.3990783691406,224.34271240234375,0.007691423874348402,498.9381103515625,230.33331298828125,0.9999892711639404,807.13525390625,665.4453125,0.999915361404419
111,497.4523010253906,224.4276123046875,0.007526902947574854,498.84564208984375,230.41116333007812,0.9999890327453613,807.423828125,665.6897583007812,0.999895453453064
112,506.0346984863281,241.04078674316406,0.007394108921289444,498.6827087402344,230.41122436523438,0.9999881982803345,807.3920288085938,665.7235107421875,0.9998989105224609
113,497.47467041015625,224.37779235839844,0.007229481358081102,498.8018798828125,230.37405395507812,0.9999890327453613,807.2152709960938,665.56201171875,0.9999176263809204
114,497.7608337402344,224.22303771972656,0.007416720036417246,499.41943359375,230.28085327148438,0.9999885559082031,807.1141357421875,665.5719604492188,0.999916672706604
115,497.5448913574219,224.26658630371094,0.007107574492692947,499.3123779296875,230.23069763183594,0.99998939037323,807.1593017578125,665.7615356445312,0.9999074935913086
116,497.3918762207031,224.52621459960938,0.007019189652055502,499.09423828125,230.19869995117188,0.9999886751174927,807.3880615234375,665.9664916992188,0.9998911619186401
117,497.4181823730469,224.53231811523438,0.007044894155114889,499.1965026855469,230.180419921875,0.9999887943267822,807.366943359375,666.0478515625,0.9998753070831299
118,497.541015625,224.54566955566406,0.007104105781763792,499.1431579589844,230.2309112548828,0.9999877214431763,807.6124267578125,665.7728881835938,0.9998641014099121
119,497.5361633300781,224.5064239501953,0.0070328619331121445,499.1995544433594,230.20445251464844,0.9999880790710449,807.6883544921875,665.79296875,0.9998581409454346
120,497.6667785644531,224.08847045898438,0.0065347375348210335,498.73480224609375,229.80810546875,0.9999873638153076,807.3677978515625,664.864501953125,0.9999181032180786
121,497.5769958496094,224.08523559570312,0.006480378098785877,498.7771911621094,229.77288818359375,0.9999872446060181,807.4560546875,664.6077880859375,0.999919056892395
122,497.6539611816406,224.11370849609375,0.006110308226197958,498.8412170410156,229.80625915527344,0.999988317489624,807.5042114257812,664.950439453125,0.9999066591262817
123,497.78125,224.09194946289062,0.006221395451575518,498.88848876953125,229.82534790039062,0.9999886751174927,807.5618286132812,664.8703002929688,0.9999078512191772
124,497.775634765625,224.0632781982422,0.006197385024279356,498.9627685546875,229.81918334960938,0.9999886751174927,807.4058837890625,664.8123779296875,0.9999140501022339
125,497.8163146972656,224.08758544921875,0.006088500842452049,498.82086181640625,229.8985137939453,0.9999877214431763,807.39501953125,665.0078125,0.9999020099639893
126,497.7918395996094,224.0981903076172,0.006052933633327484,498.85589599609375,229.93702697753906,0.9999878406524658,807.231689453125,664.9619140625,0.9999122619628906
127,497.6932067871094,224.09425354003906,0.006428943481296301,498.63775634765625,230.07574462890625,0.9999864101409912,807.2406005859375,664.8392333984375,0.9999194145202637
128,497.4883117675781,224.31570434570312,0.005783875472843647,498.3196105957031,230.21420288085938,0.9999861717224121,807.2705078125,664.7567138671875,0.9999247789382935
129,497.4991149902344,224.3460235595703,0.005495249759405851,498.2113037109375,230.15284729003906,0.9999864101409912,807.0670776367188,664.5848388671875,0.99993896484375
130,497.4159240722656,224.3146209716797,0.0054086437448859215,498.16864013671875,230.1671142578125,0.9999864101409912,807.1159057617188,664.5218505859375,0.9999377727508545
131,497.3658142089844,224.27395629882812,0.005240655969828367,498.2584228515625,230.10629272460938,0.9999876022338867,807.3286743164062,664.7199096679688,0.9999251365661621
132,505.7835388183594,240.6116485595703,0.006762605160474777,497.7753601074219,230.62135314941406,0.9999839067459106,806.8714599609375,664.085205078125,0.999955415725708
133,505.8419494628906,240.64796447753906,0.0069053880870342255,497.68902587890625,230.7948455810547,0.9999839067459106,806.9130859375,663.8311157226562,0.9999597072601318
134,505.77117919921875,240.6156768798828,0.006781797390431166,497.65264892578125,230.77293395996094,0.9999837875366211,806.893310546875,663.9016723632812,0.9999574422836304
135,505.7997741699219,240.75155639648438,0.0066940938122570515,497.7831726074219,230.82540893554688,0.9999839067459106,807.0025634765625,664.011962890625,0.9999517202377319
136,505.74432373046875,240.644775390625,0.0063763950020074844,497.8314208984375,230.7398681640625,0.9999839067459106,806.9031982421875,663.9889526367188,0.999954104423523
137,505.8431701660156,240.6803436279297,0.006413294468075037,497.8162841796875,230.7246551513672,0.9999840259552002,806.9884033203125,664.021728515625,0.9999505281448364
138,505.73992919921875,240.5629425048828,0.006535000167787075,497.57379150390625,230.78543090820312,0.9999819993972778,807.0108032226562,664.1763305664062,0.9999463558197021
139,505.83892822265625,240.62550354003906,0.006678531412035227,497.6896667480469,230.80398559570312,0.999982476234436,807.113525390625,664.2149047851562,0.9999407529830933
140,505.814697265625,240.4847869873047,0.0065211462788283825,497.7065124511719,230.71426391601562,0.9999831914901733,807.1240234375,664.2161254882812,0.9999399185180664
141,505.7641906738281,240.58224487304688,0.006251429673284292,497.6477966308594,230.77804565429688,0.9999818801879883,807.1041259765625,664.2279663085938,0.9999366998672485
142,505.74951171875,240.58270263671875,0.0058277565985918045,497.6731262207031,230.77621459960938,0.9999821186065674,807.073974609375,664.2127685546875,0.9999359846115112
